time_s,true_angle_deg,measurement_deg,reactive_beam_deg,cv_beam_deg,ca_beam_deg
13.25,71.19687499999999,,68.35988222731316,66.84328228657367,71.00960453539683
13.3,71.81150000000001,,68.35988222731316,67.32773472199307,71.6086819479044
13.350000000000001,72.42787500000001,,68.35988222731316,67.81218715741247,72.20929267362239
13.4,73.04599999999999,,68.35988222731316,68.29663959283187,72.8114367125508
13.450000000000001,73.66587500000001,,68.35988222731316,68.78109202825127,73.41511406468963
13.5,74.2875,76.29040441301441,68.35988222731316,69.26554446367066,74.02032473003888
13.55,74.910875,,76.29040441301441,71.45194836570515,75.43670120849906
13.600000000000001,75.536,,76.29040441301441,71.9599208200784,76.06293184810534
13.65,76.162875,,76.29040441301441,72.46789327445164,76.69089639478867
13.700000000000001,76.79150000000001,,76.29040441301441,72.97586572882489,77.32059484854905
13.75,77.421875,,76.29040441301441,73.48383818319813,77.95202720938649
13.8,78.05400000000002,79.5030973750409,76.29040441301441,73.99181063757138,78.58519347730098
13.850000000000001,78.68787500000002,,79.5030973750409,75.73213965013947,79.51436576533561
13.9,79.32350000000001,,79.5030973750409,76.25723424903238,80.15758940456641
13.950000000000001,79.96087500000002,,79.5030973750409,76.78232884792529,80.80262103137098
14.0,80.6,,79.5030973750409,77.30742344681819,81.44946064574931
14.05,81.240875,,79.5030973750409,77.8325180457111,82.09810824770143
14.100000000000001,81.88350000000003,82.10551741434645,79.5030973750409,78.357612644604,82.74856383722732
14.15,82.527875,,82.10551741434645,79.67054962623558,83.20892177824989
14.200000000000001,83.174,,82.10551741434645,80.2067150840003,83.85862720906252
14.25,83.82187499999999,,82.10551741434645,80.742880541765,84.51009101736977
14.3,84.4715,,82.10551741434645,81.27904599952971,85.16331320317164
14.350000000000001,85.12287500000002,,82.10551741434645,81.81521145729442,85.81829376646812
14.4,85.77600000000001,84.81884339748333,82.10551741434645,82.35137691505913,86.4750327072592
14.450000000000001,86.43087500000001,,84.81884339748333,83.38223371816969,86.66225112934168
14.5,87.08749999999999,,84.81884339748333,83.92545427812102,87.31158670656467
14.55,87.74587500000001,,84.81884339748333,84.46867483807236,87.96255516340362
14.600000000000001,88.406,,84.81884339748333,85.0118953980237,88.61515649985854
14.65,89.067875,,84.81884339748333,85.55511595797503,89.26939071592945
14.700000000000001,89.73150000000001,90.79640022963927,84.81884339748333,86.09833651792637,89.92525781161632
14.75,90.396875,,90.79640022963927,87.55025848157443,90.82315087523118
14.8,91.06400000000001,,90.79640022963927,88.10665092504406,91.48795461851007
14.850000000000001,91.732875,,90.79640022963927,88.6630433685137,92.15445706411765
14.9,92.40350000000001,,90.79640022963927,89.21943581198333,92.82265821205391
14.950000000000001,93.075875,,90.79640022963927,89.77582825545296,93.49255806231885
15.0,93.75,97.43405495187581,90.79640022963927,90.3322206989226,94.16415661491249
15.05,94.425875,,97.43405495187581,92.22605037133908,95.72292789275987
15.100000000000001,95.10350000000003,,97.43405495187581,92.80214570164584,96.41914391139721
15.15,95.782875,,97.43405495187581,93.3782410319526,97.11730681434862
15.200000000000001,96.464,,97.43405495187581,93.95433636225935,97.8174166016141
15.25,97.146875,,97.43405495187581,94.53043169256611,98.51947327319364
15.3,97.8315,96.84390873272586,97.43405495187581,95.10652702287287,99.22347682908725
15.350000000000001,98.51787500000003,,96.84390873272586,96.00351227464452,99.29196998578688
15.4,99.206,,96.84390873272586,96.58440672043211,99.98439642005823
15.450000000000001,99.89587499999999,,96.84390873272586,97.1653011662197,100.6785878657676
15.5,100.58749999999999,,96.84390873272586,97.7461956120073,101.37454432291497
15.55,101.28087500000001,,96.84390873272586,98.32709005779489,102.07226579150034
15.600000000000001,101.976,101.98399351129979,96.84390873272586,98.90798450358248,102.77175227152372
15.65,102.672875,,101.98399351129979,100.04924973608706,103.26314655591631
